Company Name,Sales,Operating Income,Net Income,Operating CF,,단위: 억 원
리노공업,"1,504 ",575 ,486 ,577 ,<-,18년
,"1,703 ",641 ,528 ,454 ,<-,19년
,"2,013 ",779 ,554 ,998 ,<-,20년
,"2,802 ","1,171 ","1,038 ","1,306 ",<-,21년
,"3,224 ","1,366 ","1,144 ","1,086 ",<-,22년
원익IPS,"6,493 ","1,059 ",869 ,466 ,<-,18년
,"6,692 ",411 ,429 ,-162 ,<-,19년
,"10,909 ","1,406 ",978 ,"2,251 ",<-,20년
,"12,323 ","1,641 ","1,451 ","1,373 ",<-,21년
,"10,115 ",976 ,894 ,280 ,<-,22년
동진쎄미켐,"8,272 ",710 ,480 ,623 ,<-,18년
,"8,753 ","1,049 ",587 ,"1,087 ",<-,19년
,"9,378 ","1,263 ",853 ,"1,302 ",<-,20년
,"11,613 ","1,318 ","1,029 ",761 ,<-,21년
,"14,572 ","2,163 ","1,562 ","1,901 ",<-,22년
에스에프에이,"15,601 ","2,344 ","1,697 ",382 ,<-,18년
,"15,777 ","2,142 ","1,470 ",77 ,<-,19년
,"15,512 ","1,673 ","1,186 ","3,351 ",<-,20년
,"15,649 ","1,889 ","1,483 ",563 ,<-,21년
,"16,844 ","1,609 ","1,060 ","1,752 ",<-,22년
클래시스,475 ,175 ,149 ,160 ,<-,18년
,811 ,417 ,334 ,390 ,<-,19년
,765 ,406 ,382 ,381 ,<-,20년
,"1,006 ",517 ,438 ,364 ,<-,21년
,"1,418 ",689 ,754 ,548 ,<-,22년
피엔티,"2,567 ",38 ,7 ,-143 ,<-,18년
,"3,214 ",15 ,-30 ,44 ,<-,19년
,"3,900 ",553 ,344 ,270 ,<-,20년
,"3,777 ",544 ,527 ,419 ,<-,21년
,"4,178 ",778 ,597 ,352 ,<-,22년
동화기업,"7,600 ",841 ,510 ,"1,162 ",<-,18년
,"7,174 ",585 ,434 ,396 ,<-,19년
,"7,449 ",668 ,403 ,"1,364 ",<-,20년
,"9,324 ","1,049 ",560 ,"1,209 ",<-,21년
,"11,004 ",724 ,433 ,258 ,<-,22년
티씨케이,"1,705 ",591 ,469 ,396 ,<-,18년
,"1,714 ",592 ,468 ,362 ,<-,19년
,"2,282 ",803 ,605 ,659 ,<-,20년
,"2,708 ","1,034 ",819 ,786 ,<-,21년
,"3,196 ","1,270 ",941 ,873 ,<-,22년
미래나노텍,"2,781 ",39 ,69 ,20 ,<-,18년
,"2,930 ",29 ,17 ,-43 ,<-,19년
,"4,036 ",320 ,210 ,4 ,<-,20년
,"4,582 ",236 ,234 ,314 ,<-,21년
,"4,903 ",97 ,-72 ,-239 ,<-,22년
심텍,"10,075 ",308 ,23 ,905 ,<-,18년
,"10,002 ",-179 ,-394 ,-316 ,<-,19년
,"12,014 ",897 ,565 ,"2,155 ",<-,20년
,"13,658 ","1,743 ","1,183 ","1,146 ",<-,21년
,"16,975 ","3,524 ","2,461 ","4,355 ",<-,22년
SFA반도체,"4,579 ",337 ,133 ,363 ,<-,18년
,"5,889 ",391 ,208 ,795 ,<-,19년
,"5,731 ",343 ,176 ,833 ,<-,20년
,"6,411 ",665 ,551 ,"1,016 ",<-,21년
,"6,994 ",629 ,454 ,949 ,<-,22년
포스코엠텍,"3,010 ",190 ,141 ,98 ,<-,18년
,"2,887 ",131 ,106 ,80 ,<-,19년
,"2,554 ",116 ,94 ,126 ,<-,20년
,"3,239 ",164 ,131 ,34 ,<-,21년
,"3,422 ",64 ,48 ,-79 ,<-,22년
하나머티리얼즈,"1,652 ",494 ,362 ,443 ,<-,18년
,"1,548 ",409 ,277 ,403 ,<-,19년
,"2,007 ",531 ,380 ,709 ,<-,20년
,"2,711 ",823 ,667 ,966 ,<-,21년
,"3,073 ",937 ,801 ,826 ,<-,22년
파마리서치,643 ,87 ,113 ,52 ,<-,18년
,839 ,191 ,149 ,193 ,<-,19년
,"1,087 ",334 ,325 ,324 ,<-,20년
,"1,541 ",525 ,468 ,653 ,<-,21년
,"1,948 ",659 ,434 ,594 ,<-,22년
