회사명,업종,주요제품,이미 본 기업 o 표시,19년도 이후 상장,시총 1000억,단가 공시 여부 ,수주 기업 여부,
안국약품,의약품 제조업,"그랑파제, 토비콤-S",,,,,,
삼아제약,의약품 제조업,"노마에프, 아토크건조시럽, 코데날정, 코코시럽, 스마엘",,,,,,
진양제약,의약품 제조업,"소부날, 옥티란",,,,,,
서울제약,의약품 제조업,"정제,연질캅셀제,경질캅셀제,연고 및 크림제 등",,,,,,
삼천당제약,의약품 제조업,"하메론, 아토로우",,,,,,
고려제약,의약품 제조업,"하벤(종합감기약),뉴로메드(치매치료제)등",,,,,,
바이넥스,의약품 제조업,"정장제, 소화제",,,,,,
CMG제약,의약품 제조업,의약품,,,,,,
코미팜,의약품 제조업,동물약품,,,,,,
경남제약,의약품 제조업,PCB 드릴가공,,,,,,
종근당바이오,의약품 제조업,"의약품,원료의약품 제조",,,,,,
제일바이오,의약품 제조업,동물사료첨가제,,,,,,
씨티씨바이오,의약품 제조업,"동물용항병원성제품, 생균효소제",,,,,,
대한뉴팜,의약품 제조업,"동물약품,인체약품",,,,,,
화일약품,의약품 제조업,의약품 원료,,,,,,
대웅제약,의약품 제조업,"양약,의료기기 제조/화장품,의약부의품 도소매/부동산 임대",,,,,,
JW신약,의약품 제조업,"매니큐어세트, 손톱깎이",,,,,,
대화제약,의약품 제조업,"후로스판, 세파메칠 등",,,,,,
에스텍파마,의약품 제조업,원료의약품,,,,,,
테라젠이텍스,의약품 제조업,"Loading/Unloading System, PCB Bonding System",,,,,,
대봉엘에스,의약품 제조업,"원료의약품,화장품원료",,,,,,
셀트리온제약,의약품 제조업,고덱스 캡슐 외,,,,,,
휴온스글로벌,의약품 제조업,의약품제조업,,,,,,
오스코텍,의약품 제조업,"뼈이식재,건강식품소재",,,,,,
동국제약,의약품 제조업,"인사돌, 복합마데카솔, 파미레이",,,,,,
유나이티드,의약품 제조업,"홈타민 진생연질60C(비타민제),항암제,항생제,순환기계,해열진통제,소화기계약품 제조",,,,,,
우진비앤지,의약품 제조업,"슈퍼티아, 안티펜SM",,,,,,
명문제약,의약품 제조업,"의약품(ROBAXIN 주사,KIMITE패취) 제조,판매",,,,,,
이연제약,의약품 제조업,"항생제,순환기제",,,,,,
한미약품,의약품 제조업,의약품,,,,,,
옵투스제약,의약품 제조업,티어린프리점안액,,,,,,
동아에스티,의약품 제조업,"스티렌, 자이데나",,,,,,
종근당,의약품 제조업,"딜라트렌,리피로우",,,,,,
비씨월드제약,의약품 제조업,"마취통증약, 순환계약, 항생제, 기타처방약",,,,,,
휴메딕스,의약품 제조업,"히알루론산 관절염치료제, 히알루론산 더말필러",,,,,,
듀켐바이오,의약품 제조업,"방사성의약품, 의료기기, 장비, 암진단의약품 도매, 무역 장비 임대 암진단의약품 등 제조",,,,,,
코아스템켐온,의약품 제조업,줄기세포 치료제,,,,,,
파마리서치바이오,의약품 제조업,"메디컬 에스테틱, 생물학적 제재",,,,,,
팬젠,의약품 제조업,"바이오시밀러 의약품 개발, 바이오의약품 개발 기술이전 서비스 등",,,,,,
휴온스,의약품 제조업,"전문의약품, 일반의약품",,,,,,
에스티팜,의약품 제조업,원료의약품,,,,,,
일동제약,의약품 제조업,"아로나민, 후루마린, 큐란, 라비에트, 사미온 등",,,,,,
JW생명과학,의약품 제조업,"기초수액, TPN, 특수수액, HEMO, 영양수액 등",,,,,,
퓨쳐켐,의약품 제조업,"PET 방사성의약품, 자동합성장치, 합성시약 및 전구체",,,,,,
유바이오로직스,의약품 제조업,"경구용 콜레라 백신, 바이오의약품 수탁 연구 및 제조",,,,,,
신신제약,의약품 제조업,파스류 (신신파스 아렉스 등),,,,,,
제일약품,의약품 제조업,의약품,,,,,,
동구바이오제약,의약품 제조업,"피부, 비뇨기과 완제의약품",,,,,,
아이큐어,의약품 제조업,"플라스타, 의약 및 의약외품 패취등, 마스크팩, 화장품 기초라인",,,,,,
한국유니온제약,의약품 제조업,"항생제, 순환기계, 근골격계, 소화기계류 완제의약품",,,,,,
하나제약,의약품 제조업,완제의약품,,,,,,
엘앤씨바이오,의약품 제조업,"인체조직(피부, 뼈, 연골)",,,,,,
파멥신,의약품 제조업,항체치료제,,,,,,
국전약품,의약품 제조업,기업 인수 및 합병,,,,,,
녹십자웰빙,의약품 제조업,"전문의약품, 건강기능식품",,,,,,
한신기계공업,일반 목적용 기계 제조업,"공기압축기,공구류 제조,판매/오파",,,,,,
계양전기,일반 목적용 기계 제조업,"전동공구(그라인더,드릴,커팅머신 등), 엔진, 자동차용 모터 제조",,,,,,
큐로,일반 목적용 기계 제조업,"열교환기,압력용기,저장탱크,산업용보일러 제조",,,,,,
삼익THK,일반 목적용 기계 제조업,"직선운동시스템,메카트로시스템,기타정밀 자동화기기 제조,판매/전자상거래,인터넷 관련 s/w,h/w 개발,판매,유지보수",,,,,,
청호ICT,일반 목적용 기계 제조업,"금융단말기(현금자동입출금기,온라인단말기),통신기기 제조,판매",,,,,,
유니슨,일반 목적용 기계 제조업,"풍력발전기, 풍력타워",,,,,,
현대엘리베이터,일반 목적용 기계 제조업,"엘리베이터,에스컬레이터,공항,공정,크린룸,병원 물류시스템,수,배송센터,고속소팅시스템,주차설비 제조,판매,보수",,,,,,
한온시스템,일반 목적용 기계 제조업,"자동차용부품(라디에이터,히터,에어콘,압축기,콘덴서,컴퓨레사) 제조,도매",,,,,,
영풍정밀,일반 목적용 기계 제조업,"펌프, 밸브, 주물",,,,,,
화성밸브,일반 목적용 기계 제조업,"가스밸브, 매몰용접용 볼밸브, 온수분배기",,,,,,
에쎈테크,일반 목적용 기계 제조업,LPG밸브,,,,,,
두산에너빌리티,일반 목적용 기계 제조업,"기관,터어빈,선박용엔진,주단조품,제강제품 제조/종합건설",,,,,,
크린앤사이언스,일반 목적용 기계 제조업,자동차용 여과지,o,,,,,선배
TPC,일반 목적용 기계 제조업,"구동기기(실린더), 방향제어기(밸브)",,,,,,
조광ILI,일반 목적용 기계 제조업,"안전밸브,스팀트랩",,,,,,
오리엔탈정공,일반 목적용 기계 제조업,선박용 기계제품(크레인 등),,,,,,
팬스타엔터프라이즈,일반 목적용 기계 제조업,자동차 정비용 리프트,,,,,,
이엔플러스,일반 목적용 기계 제조업,소방자동차 제조,,,,,,
STX엔진,일반 목적용 기계 제조업,"엔진,터빈,내연기관 제조,도매",,,,,,
케이에스피,일반 목적용 기계 제조업,"선박용엔진밸브,형단조품",,,,,,
비에이치아이,일반 목적용 기계 제조업,"보일러,열교환기등",,,,,,
수성샐바시온,일반 목적용 기계 제조업,전동지게차,,,,,,
에너토크,일반 목적용 기계 제조업,전동액츄에이터,,,,,,
제이브이엠,일반 목적용 기계 제조업,"전자동 정제,분류 및 포장시스템",o,,,,,선배
비엠티,일반 목적용 기계 제조업,"정밀계장용피팅및밸브류,전원분배장치(MCPD)",,,,,,
일신바이오,일반 목적용 기계 제조업,초저온냉동고및동결건조기,,,,,,
SNT에너지,일반 목적용 기계 제조업,"공냉식 열교환장치,폐열회수장치 제조",,,,,,
우림피티에스,일반 목적용 기계 제조업,"트랜스미션,감속기,기어전동축 제조",,,,,,
STX중공업,일반 목적용 기계 제조업,"조선기자재, 기계부품",,,,,,
에스앤더블류,일반 목적용 기계 제조업,"디젤엔진부품, 산업부품, 단조품",,,,,,
디와이피엔에프,일반 목적용 기계 제조업,뉴메틱 컨베잉 시스템(분체이송시스템),,,,,,
KC코트렐,일반 목적용 기계 제조업,전기집진기 등,,,,,,
디케이락,일반 목적용 기계 제조업,계장용 피팅 및 밸브,,,,,,
HSD엔진,일반 목적용 기계 제조업,"대형선박용엔진,내연발전엔진",,,,,,
제이엔케이히터,일반 목적용 기계 제조업,"산업용가열로, 수소충전소",,,,,,
에스엠코어,일반 목적용 기계 제조업,"자동화물류서비스, 자동화공정설비",,,,,,
서암기계공업,일반 목적용 기계 제조업,"공작기계부품(정밀기어,척),산업기계 제조부동산 임대",,,,,,
현대건설기계,일반 목적용 기계 제조업,"굴삭기, 지게차, 휠로더 등",,,,,,
비디아이,일반 목적용 기계 제조업,"탈황설비, 전기집진기, 회처리 및 회정제설비",,,,,,
현대무벡스,일반 목적용 기계 제조업,"물류자동화, IT서비스",,,,,,
한독크린텍,일반 목적용 기계 제조업,정수기 필터,,,,,,
씨에스베어링,일반 목적용 기계 제조업,"풍력용 선회베어링, 산업용 선회베어링",,,,,,
삼성SDI,일차전지 및 축전지 제조업,"2차전지, 전자재료 제조 판매",,,,,,
세방전지,일차전지 및 축전지 제조업,"자동차용 및 산업용 축전지(연축전지) 제조,판매",,,,,,
DN오토모티브,일차전지 및 축전지 제조업,자동차용 밧데리,,,,,,
엘앤에프,일차전지 및 축전지 제조업,2차전지 양극활물질,,,,,,
상신이디피,일차전지 및 축전지 제조업,2차전지부품,,,,,,
비츠로셀,일차전지 및 축전지 제조업,리튬1차전지,,,,,,
이엠티,일차전지 및 축전지 제조업,이차전지 양극재용 전구체,,,,,,
신흥에스이씨,일차전지 및 축전지 제조업,"2차전지용 안전 부품(Cap Assembly, CID)",,,,,,
에코프로비엠,일차전지 및 축전지 제조업,양극활물질,,,,,,
에이에프더블류,일차전지 및 축전지 제조업,음극마찰용접단자,,,,,,
태원물산,자동차 신품 부품 제조업,"자동차부품,워터펌프,인산정제석고,건축자재(불연내장재), 제조,수출입",,,,,,
부산주공,자동차 신품 부품 제조업,"자동차부품(엔진부품,조향장치부품,브레이장치부품,오토미셧부품) 제조,도매/부동산 임대",,,,,,
태양금속공업,자동차 신품 부품 제조업,"자동차용 강력볼트,너트,전기전자제품용 나사,자전거부품,전해동박,도금도장설비 제조",,,,,,
SG글로벌,자동차 신품 부품 제조업,"자동차시트커버(Seat Trim Cover), 면사, 면ㆍ혼방사 등의 제조 및 판매",,,,,,
SNT다이내믹스,자동차 신품 부품 제조업,"자동차부품(동력전달장치 등),공작기계(CNC선반 등),사출성형기 제조",,,,,,
대유에이텍,자동차 신품 부품 제조업,자동차부품(자동차용 시트)제조,,,,,,
대원강업,자동차 신품 부품 제조업,"차량용스프링,기계부속,시트,타이어체인,합성수지제품,철도용스파이크 제조,도매",,,,,,
평화홀딩스,자동차 신품 부품 제조업,지주회사,,,,,,
한국프랜지공업,자동차 신품 부품 제조업,"자동차부품(제동,구동장치),프랜지(관이음쇠),철구조물,산업기계 제조",,,,,,
삼성공조,자동차 신품 부품 제조업,"자동차부품(라디에터,오일쿨러,인터쿨러) 제조,판매",,,,,,
